"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"40-44 years"	"40-44"	"Male"	"M"	16
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"45-49 years"	"45-49"	"Female"	"F"	37
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"45-49 years"	"45-49"	"Male"	"M"	45
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"50-54 years"	"50-54"	"Female"	"F"	98
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"50-54 years"	"50-54"	"Male"	"M"	160
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	"Female"	"F"	221
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	"Male"	"M"	286
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"60-64 years "	"60-64"	"Female"	"F"	250
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"60-64 years "	"60-64"	"Male"	"M"	389
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"Female"	"F"	324
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"Male"	"M"	470
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"Female"	"F"	318
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"Male"	"M"	440
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	"Female"	"F"	214
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	"Male"	"M"	331
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	"Female"	"F"	148
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	"Male"	"M"	228
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"Female"	"F"	112
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"Male"	"M"	123
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2015"	"2015"	"50-54 years"	"50-54"	"Male"	"M"	20
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2015"	"2015"	"55-59 years"	"55-59"	"Female"	"F"	25
