"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"40-44 years"	"40-44"	"Male"	"M"	16
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"45-49 years"	"45-49"	"Female"	"F"	41
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"45-49 years"	"45-49"	"Male"	"M"	44
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"50-54 years"	"50-54"	"Female"	"F"	94
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"50-54 years"	"50-54"	"Male"	"M"	166
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	"Female"	"F"	215
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	"Male"	"M"	304
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	"Female"	"F"	253
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	"Male"	"M"	384
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"Female"	"F"	305
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	478
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"Female"	"F"	310
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	457
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"Female"	"F"	262
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	331
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"Female"	"F"	159
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"Male"	"M"	238
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"Female"	"F"	115
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"Male"	"M"	130
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"55-59 years"	"55-59"	"Female"	"F"	24
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"55-59 years"	"55-59"	"Male"	"M"	34
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"60-64 years "	"60-64"	"Female"	"F"	21
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"60-64 years "	"60-64"	"Male"	"M"	40
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"65-69 years"	"65-69"	"Female"	"F"	37
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"65-69 years"	"65-69"	"Male"	"M"	39
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"70-74 years"	"70-74"	"Female"	"F"	25
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"70-74 years"	"70-74"	"Male"	"M"	36
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"75-79 years"	"75-79"	"Female"	"F"	22
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2016"	"2016"	"75-79 years"	"75-79"	"Male"	"M"	33
