"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"40-44 years"	"40-44"	"Male"	"M"	21
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"45-49 years"	"45-49"	"Female"	"F"	43
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"45-49 years"	"45-49"	"Male"	"M"	32
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"50-54 years"	"50-54"	"Female"	"F"	97
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"50-54 years"	"50-54"	"Male"	"M"	144
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"55-59 years"	"55-59"	"Female"	"F"	201
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"55-59 years"	"55-59"	"Male"	"M"	311
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"60-64 years "	"60-64"	"Female"	"F"	246
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"60-64 years "	"60-64"	"Male"	"M"	409
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"65-69 years"	"65-69"	"Female"	"F"	307
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	408
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"70-74 years"	"70-74"	"Female"	"F"	341
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	456
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	"Female"	"F"	261
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	339
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"80-84 years"	"80-84"	"Female"	"F"	156
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"80-84 years"	"80-84"	"Male"	"M"	231
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"85+ years"	"85+"	"Female"	"F"	117
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2017"	"2017"	"85+ years"	"85+"	"Male"	"M"	126
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"55-59 years"	"55-59"	"Female"	"F"	17
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"55-59 years"	"55-59"	"Male"	"M"	18
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"60-64 years "	"60-64"	"Female"	"F"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"60-64 years "	"60-64"	"Male"	"M"	22
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"65-69 years"	"65-69"	"Female"	"F"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"65-69 years"	"65-69"	"Male"	"M"	56
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"70-74 years"	"70-74"	"Female"	"F"	31
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"70-74 years"	"70-74"	"Male"	"M"	38
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"75-79 years"	"75-79"	"Female"	"F"	26
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"75-79 years"	"75-79"	"Male"	"M"	35
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2017"	"2017"	"80-84 years"	"80-84"	"Female"	"F"	19
