"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"40-44 years"	"40-44"	"Female"	"F"	30
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"40-44 years"	"40-44"	"Male"	"M"	41
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"45-49 years"	"45-49"	"Female"	"F"	63
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"45-49 years"	"45-49"	"Male"	"M"	108
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"50-54 years"	"50-54"	"Female"	"F"	98
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"50-54 years"	"50-54"	"Male"	"M"	164
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"55-59 years"	"55-59"	"Female"	"F"	153
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"55-59 years"	"55-59"	"Male"	"M"	292
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"60-64 years "	"60-64"	"Female"	"F"	229
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"60-64 years "	"60-64"	"Male"	"M"	396
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"65-69 years"	"65-69"	"Female"	"F"	257
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"65-69 years"	"65-69"	"Male"	"M"	455
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"70-74 years"	"70-74"	"Female"	"F"	256
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"70-74 years"	"70-74"	"Male"	"M"	445
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2006"	"2006"	"75-79 years"	"75-79"	"Female"	"F"	248
