"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"40-44 years"	"40-44"	"Male"	"M"	16
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	36
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	38
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	106
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	116
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"55-59 years"	"55-59"	"Female"	"F"	196
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	271
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	265
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	415
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"65-69 years"	"65-69"	"Female"	"F"	303
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	414
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"70-74 years"	"70-74"	"Female"	"F"	316
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	465
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"75-79 years"	"75-79"	"Female"	"F"	277
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	359
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"80-84 years"	"80-84"	"Female"	"F"	157
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	225
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"85+ years"	"85+"	"Female"	"F"	146
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2018"	"2018"	"85+ years"	"85+"	"Male"	"M"	131
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"55-59 years"	"55-59"	"Male"	"M"	21
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"60-64 years "	"60-64"	"Female"	"F"	39
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"60-64 years "	"60-64"	"Male"	"M"	27
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"65-69 years"	"65-69"	"Female"	"F"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"65-69 years"	"65-69"	"Male"	"M"	48
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"70-74 years"	"70-74"	"Female"	"F"	35
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"70-74 years"	"70-74"	"Male"	"M"	28
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"75-79 years"	"75-79"	"Female"	"F"	21
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"75-79 years"	"75-79"	"Male"	"M"	35
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2018"	"2018"	"80-84 years"	"80-84"	"Male"	"M"	17
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2018"	"2018"	"45-49 years"	"45-49"	"Female"	"F"	26
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2018"	"2018"	"45-49 years"	"45-49"	"Male"	"M"	26
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2018"	"2018"	"50-54 years"	"50-54"	"Female"	"F"	61
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2018"	"2018"	"50-54 years"	"50-54"	"Male"	"M"	66
