"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"40-44 years"	"40-44"	"Female"	"F"	19
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"40-44 years"	"40-44"	"Male"	"M"	36
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"45-49 years"	"45-49"	"Female"	"F"	59
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"45-49 years"	"45-49"	"Male"	"M"	105
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"50-54 years"	"50-54"	"Female"	"F"	124
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"50-54 years"	"50-54"	"Male"	"M"	181
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"55-59 years"	"55-59"	"Female"	"F"	168
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"55-59 years"	"55-59"	"Male"	"M"	316
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"60-64 years "	"60-64"	"Female"	"F"	207
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"60-64 years "	"60-64"	"Male"	"M"	434
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"65-69 years"	"65-69"	"Female"	"F"	276
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"65-69 years"	"65-69"	"Male"	"M"	456
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"70-74 years"	"70-74"	"Female"	"F"	284
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"70-74 years"	"70-74"	"Male"	"M"	438
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"75-79 years"	"75-79"	"Female"	"F"	247
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"75-79 years"	"75-79"	"Male"	"M"	385
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"80-84 years"	"80-84"	"Female"	"F"	185
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"80-84 years"	"80-84"	"Male"	"M"	266
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"85+ years"	"85+"	"Female"	"F"	132
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2008"	"2008"	"85+ years"	"85+"	"Male"	"M"	125
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2008"	"2008"	"50-54 years"	"50-54"	"Male"	"M"	17
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2008"	"2008"	"55-59 years"	"55-59"	"Female"	"F"	22
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2008"	"2008"	"55-59 years"	"55-59"	"Male"	"M"	23
