"Notes"	"Cancer Sites"	"Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	17
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	37
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	43
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	93
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"50-54 years"	"50-54"	"Male"	"M"	102
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"55-59 years"	"55-59"	"Female"	"F"	181
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	295
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	292
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	372
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"65-69 years"	"65-69"	"Female"	"F"	314
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	449
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"70-74 years"	"70-74"	"Female"	"F"	323
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	494
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"75-79 years"	"75-79"	"Female"	"F"	260
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	363
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"80-84 years"	"80-84"	"Female"	"F"	149
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"80-84 years"	"80-84"	"Male"	"M"	205
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"85+ years"	"85+"	"Female"	"F"	123
	"Respiratory System"	"22010-22060"	"Alabama"	"01"	"2019"	"2019"	"85+ years"	"85+"	"Male"	"M"	119
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"55-59 years"	"55-59"	"Female"	"F"	20
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"55-59 years"	"55-59"	"Male"	"M"	16
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"60-64 years "	"60-64"	"Female"	"F"	36
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"60-64 years "	"60-64"	"Male"	"M"	44
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"65-69 years"	"65-69"	"Female"	"F"	45
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"65-69 years"	"65-69"	"Male"	"M"	45
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"70-74 years"	"70-74"	"Female"	"F"	32
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"70-74 years"	"70-74"	"Male"	"M"	39
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"75-79 years"	"75-79"	"Female"	"F"	24
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"75-79 years"	"75-79"	"Male"	"M"	34
	"Respiratory System"	"22010-22060"	"Alaska"	"02"	"2019"	"2019"	"80-84 years"	"80-84"	"Female"	"F"	21
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	28
	"Respiratory System"	"22010-22060"	"Arizona"	"04"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	21
